time,temperature,humidity
2024-09-21T00:00,13.8,91
2024-09-21T01:00,13.3,92
2024-09-21T02:00,13.1,93
2024-09-21T03:00,12.9,97
2024-09-21T04:00,12.5,98
2024-09-21T05:00,11.9,97
2024-09-21T06:00,12.3,97
2024-09-21T07:00,13.0,97
2024-09-21T08:00,14.3,94
2024-09-21T09:00,15.3,91
2024-09-21T10:00,16.7,87
2024-09-21T11:00,18.1,82
2024-09-21T12:00,19.4,75
2024-09-21T13:00,19.6,76
2024-09-21T14:00,20.0,73
2024-09-21T15:00,19.7,72
2024-09-21T16:00,19.3,74
2024-09-21T17:00,18.9,77
2024-09-21T18:00,18.3,83
2024-09-21T19:00,17.8,85
2024-09-21T20:00,17.0,88
2024-09-21T21:00,16.8,88
2024-09-21T22:00,16.6,89
2024-09-21T23:00,16.0,78
2024-09-22T00:00,15.2,78
2024-09-22T01:00,14.6,74
2024-09-22T02:00,14.3,74
2024-09-22T03:00,13.9,73
2024-09-22T04:00,13.6,71
2024-09-22T05:00,13.6,68
2024-09-22T06:00,13.8,66
2024-09-22T07:00,14.5,65
2024-09-22T08:00,15.8,64
2024-09-22T09:00,16.9,66
2024-09-22T10:00,17.6,64
2024-09-22T11:00,18.0,60
2024-09-22T12:00,18.4,57
2024-09-22T13:00,18.4,59
2024-09-22T14:00,18.1,62
2024-09-22T15:00,17.8,65
2024-09-22T16:00,17.3,66
2024-09-22T17:00,16.8,69
2024-09-22T18:00,16.3,76
2024-09-22T19:00,15.9,77
2024-09-22T20:00,15.3,77
2024-09-22T21:00,14.8,80
2024-09-22T22:00,14.3,80
2024-09-22T23:00,14.0,79
2024-09-23T00:00,14.0,79
2024-09-23T01:00,13.8,79
2024-09-23T02:00,13.8,78
2024-09-23T03:00,13.5,77
2024-09-23T04:00,13.6,77
2024-09-23T05:00,13.7,77
2024-09-23T06:00,14.3,76
2024-09-23T07:00,15.3,74
2024-09-23T08:00,16.6,70
2024-09-23T09:00,18.2,66
2024-09-23T10:00,19.5,62
2024-09-23T11:00,20.6,58
2024-09-23T12:00,21.4,55
2024-09-23T13:00,21.8,53
2024-09-23T14:00,21.8,54
2024-09-23T15:00,21.4,56
2024-09-23T16:00,20.5,61
2024-09-23T17:00,19.2,68
2024-09-23T18:00,18.2,66
2024-09-23T19:00,17.5,65
2024-09-23T20:00,17.0,65
2024-09-23T21:00,16.4,66
2024-09-23T22:00,15.8,68
2024-09-23T23:00,14.5,82
2024-09-24T00:00,14.3,83
2024-09-24T01:00,14.0,85
2024-09-24T02:00,13.7,87
2024-09-24T03:00,13.6,88
2024-09-24T04:00,13.9,88
2024-09-24T05:00,14.3,88
2024-09-24T06:00,15.0,86
2024-09-24T07:00,16.1,83
2024-09-24T08:00,17.5,79
2024-09-24T09:00,18.8,75
2024-09-24T10:00,19.8,71
2024-09-24T11:00,20.6,67
2024-09-24T12:00,21.1,63
2024-09-24T13:00,21.2,60
2024-09-24T14:00,20.9,58
2024-09-24T15:00,20.5,57
2024-09-24T16:00,20.1,58
2024-09-24T17:00,19.6,60
2024-09-24T18:00,19.3,62
2024-09-24T19:00,19.1,62
2024-09-24T20:00,19.0,60
2024-09-24T21:00,18.9,60
2024-09-24T22:00,18.5,61
2024-09-24T23:00,18.0,64
