time,temperature,humidity
2024-09-21T00:00,13.6,94
2024-09-21T01:00,14.1,84
2024-09-21T02:00,13.8,77
2024-09-21T03:00,13.4,79
2024-09-21T04:00,12.8,81
2024-09-21T05:00,13.0,78
2024-09-21T06:00,13.1,78
2024-09-21T07:00,14.5,71
2024-09-21T08:00,16.0,63
2024-09-21T09:00,17.2,62
2024-09-21T10:00,17.6,64
2024-09-21T11:00,17.6,68
2024-09-21T12:00,17.6,68
2024-09-21T13:00,17.5,55
2024-09-21T14:00,17.1,52
2024-09-21T15:00,16.2,44
2024-09-21T16:00,15.4,44
2024-09-21T17:00,14.7,43
2024-09-21T18:00,14.1,46
2024-09-21T19:00,13.6,46
2024-09-21T20:00,13.2,49
2024-09-21T21:00,12.8,51
2024-09-21T22:00,12.3,49
2024-09-21T23:00,11.9,53
2024-09-22T00:00,11.4,53
2024-09-22T01:00,10.9,52
2024-09-22T02:00,10.4,55
2024-09-22T03:00,9.8,57
2024-09-22T04:00,9.3,56
2024-09-22T05:00,9.4,53
2024-09-22T06:00,10.2,51
2024-09-22T07:00,11.4,45
2024-09-22T08:00,12.2,43
2024-09-22T09:00,12.9,41
2024-09-22T10:00,13.2,40
2024-09-22T11:00,13.6,42
2024-09-22T12:00,13.8,42
2024-09-22T13:00,14.0,44
2024-09-22T14:00,13.9,46
2024-09-22T15:00,13.4,48
2024-09-22T16:00,12.8,50
2024-09-22T17:00,11.9,52
2024-09-22T18:00,11.4,52
2024-09-22T19:00,10.7,55
2024-09-22T20:00,10.0,60
2024-09-22T21:00,9.4,62
2024-09-22T22:00,9.1,64
2024-09-22T23:00,8.9,65
2024-09-23T00:00,8.6,67
2024-09-23T01:00,8.4,69
2024-09-23T02:00,8.4,69
2024-09-23T03:00,8.3,67
2024-09-23T04:00,8.3,65
2024-09-23T05:00,8.6,64
2024-09-23T06:00,9.2,62
2024-09-23T07:00,10.1,61
2024-09-23T08:00,10.9,62
2024-09-23T09:00,12.6,63
2024-09-23T10:00,13.8,71
2024-09-23T11:00,14.7,73
2024-09-23T12:00,15.8,70
2024-09-23T13:00,16.5,65
2024-09-23T14:00,17.0,63
2024-09-23T15:00,16.9,64
2024-09-23T16:00,15.9,69
2024-09-23T17:00,14.9,72
2024-09-23T18:00,14.1,70
2024-09-23T19:00,13.8,70
2024-09-23T20:00,13.3,71
2024-09-23T21:00,13.1,72
2024-09-23T22:00,12.9,74
2024-09-23T23:00,13.0,90
2024-09-24T00:00,12.9,91
2024-09-24T01:00,13.1,90
2024-09-24T02:00,13.4,88
2024-09-24T03:00,13.6,87
2024-09-24T04:00,13.5,86
2024-09-24T05:00,13.4,86
2024-09-24T06:00,13.7,85
2024-09-24T07:00,14.6,83
2024-09-24T08:00,15.9,80
2024-09-24T09:00,17.0,77
2024-09-24T10:00,18.0,75
2024-09-24T11:00,19.0,73
2024-09-24T12:00,19.5,71
2024-09-24T13:00,19.6,70
2024-09-24T14:00,19.4,70
2024-09-24T15:00,19.0,70
2024-09-24T16:00,18.8,71
2024-09-24T17:00,18.5,71
2024-09-24T18:00,18.1,72
2024-09-24T19:00,17.9,72
2024-09-24T20:00,17.5,71
2024-09-24T21:00,17.2,71
2024-09-24T22:00,17.0,73
2024-09-24T23:00,16.7,77
2024-09-25T00:00,16.5,79
2024-09-25T01:00,16.5,79
2024-09-25T02:00,16.6,77
2024-09-25T03:00,16.5,77
2024-09-25T04:00,16.3,80
2024-09-25T05:00,15.9,85
2024-09-25T06:00,15.6,89
2024-09-25T07:00,15.4,91
2024-09-25T08:00,15.1,92
2024-09-25T09:00,15.1,93
2024-09-25T10:00,15.1,93
2024-09-25T11:00,15.2,92
2024-09-25T12:00,15.4,91
2024-09-25T13:00,15.6,89
2024-09-25T14:00,15.9,87
2024-09-25T15:00,15.9,85
2024-09-25T16:00,15.4,83
2024-09-25T17:00,14.6,81
2024-09-25T18:00,13.9,81
2024-09-25T19:00,13.2,84
2024-09-25T20:00,12.6,89
2024-09-25T21:00,12.1,93
2024-09-25T22:00,11.9,94
2024-09-25T23:00,11.9,93
2024-09-26T00:00,11.9,93
2024-09-26T01:00,12.1,94
2024-09-26T02:00,12.4,95
2024-09-26T03:00,12.8,96
2024-09-26T04:00,13.1,95
2024-09-26T05:00,13.4,93
2024-09-26T06:00,13.9,91
2024-09-26T07:00,14.4,89
2024-09-26T08:00,15.1,86
2024-09-26T09:00,15.9,83
2024-09-26T10:00,16.9,78
2024-09-26T11:00,18.0,72
2024-09-26T12:00,18.6,68
2024-09-26T13:00,18.9,67
2024-09-26T14:00,18.7,68
2024-09-26T15:00,18.5,69
2024-09-26T16:00,18.1,70
2024-09-26T17:00,17.8,72
2024-09-26T18:00,17.3,75
2024-09-26T19:00,16.7,80
2024-09-26T20:00,16.0,86
2024-09-26T21:00,15.6,90
2024-09-26T22:00,15.4,90
2024-09-26T23:00,15.6,89
2024-09-27T00:00,15.6,88
2024-09-27T01:00,15.4,89
2024-09-27T02:00,15.1,89
2024-09-27T03:00,14.9,90
2024-09-27T04:00,14.8,90
2024-09-27T05:00,14.7,89
